TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE
buxdwh,reporting,cube_daily_user,year,-5,Integer,19,8,(null),10,0,(null),,-5,(null),(null),1,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,month,-5,Integer,19,8,(null),10,0,(null),,-5,(null),(null),2,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,week_of_year,-5,Integer,19,8,(null),10,0,(null),,-5,(null),(null),3,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,day_of_year,-5,Integer,19,8,(null),10,0,(null),,-5,(null),(null),4,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,user_id,12,Varchar,36,36,(null),(null),0,(null),,12,(null),36,5,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,battles_messages_sent,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),6,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,battles_private_started,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),7,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,battles_public_started,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),8,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,battles_private_participated,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),9,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,battles_public_participated,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),10,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,news_items_read,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),11,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,invitations_friend_received,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),12,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,invitations_friend_accepted,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),13,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,number_of_sessions,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),14,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,total_session_duration,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),15,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),16,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),17,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),18,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),19,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),20,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),21,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),22,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),23,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),24,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),25,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),26,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),27,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),28,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),29,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),30,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_indices_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),31,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_indices_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),32,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_indices_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),33,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_indices_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),34,YES,(null),(null),(null),(null)
